184,11-05-2017,Kmicica 6/2,726624,67.7,10733,WA2M/00466522/0
185,19-05-2017,Puszczyka 18a/9,446000,68.8,6483,brak KW
186,22-05-2017,Górczewska 200c/466,506100,68.9,7342,WA1M/00476157/6
187,19-05-2017,Kredytowa 8/73 ,765000,69.3,11047,WA4M/00433824/1 
188,03-08-2017,Przejazd 6/91 ,610000,69.5,8781,WA2M/00449999/9 
189,29-06-2017,Pogodna 17A/29,316156,69.5,4549,WA6M/00368134/4
190,08-06-2017,Warchałowskiego 2/78,455018,70.6,6445,WA5M/00453608/4
191,25-05-2017,Miklaszewskiego 14/66,479000,70.7,6775,WA5M/00454560/2
192,17-05-2017,Fasolowa 21/2 ,441917,70.9,6233,WA1M/00400643/7 
193,16-05-2017,Kobielska 13/31,401000,72,5569,WA6M/00457437/9
194,12-05-2017,Okrąg 4/39,573300,72,7963,WA4M/00405667/7
195,12-06-2017,Hawajska 16/10,422900,72.2,5857,WA2M/00446115/8
196,12-06-2017,Kochanowskiego Jana 51/44,465200,73.4,6338,brak KW
197,21-04-2017,Obrzeżna 5c/8,604900,74.3,8144,WA2M/00494816/3
198,28-07-2017,Dworkowa 2/19,534600,74.7,7156,WA2M/00213225/0
199,16-05-2017,Wolska 78/80/42,466700,75.1,6214,WA4M/00104363/6
200,09-05-2017,Kępna 2/10 ,442000,75.8,5831,WA3M/00454186/2 
201,15-05-2017,Gwiaździsta 15 A/123,605111,75.8,7983,WA1M/00468927/6
202,23-05-2017,Myśliborska 24A/28,444000,75.9,5850,WA3M/00479192/8
203,23-05-2017,Dzięcieliny 3/40 ,497842,76.5,6512,WA6M/00315385/2 
204,25-05-2017,Zadumana 1a/230 ,555830,76.5,7266,WA1M/00412412/6 
205,30-05-2017,Bielawska 6/55,691890,76.8,9009,WA2M/00204474/4
206,09-06-2017,Strumykowa 40F/17 ,421000,78.1,5391,WA3M/00428930/2 
207,07-06-2017,Białostocka 5/130,414600,78.5,5280,WA3M/00429476/8
208,23-05-2017,Doroszewskiego Witolda 7/36,438400,78.8,5563,WA1M/00520544/0
209,23-05-2017,Al. Rzeczypospolitej 2/2,612000,79.3,7718,WA2M/00486381/5
210,07-06-2017,Jana Nowaka Jeziorańskiego 9/246,576754,79.5,7255,WA6M/00477957/6
211,29-06-2017,Dolna 11/3,717000,80.1,8951,WA2M/00453778/5
212,20-06-2017,Smolna 38/11,931212,80.5,11572,WA4M/00127809/2
213,20-06-2017,Al. Jana Pawła II 61/127,708000,82,8634,WA4M/00406945/7
214,15-05-2017,Roentgena 45/5,589101,82.1,7175,WA2M/00409751/7
215,16-05-2017,Jana Olbrachta 112/110,559600,82.2,6808,WA1M/00477899/6
216,23-05-2017,Skarbka z Gór 17/U-2,493111,82.4,5984,WA3M/00451336/8
217,23-05-2017,Parkowa 19/3 ,2033235,83.2,24429,WA4M/00404901/3 
218,24-05-2017,Związku Walki Młodych 18/73,498500,84.1,5927,WA5M/00464257/8
219,11-05-2017,Pietraszewicza Bronisława 7/1,615000,84.1,7313,WA2M/00139729/0
220,11-05-2017,Mydlarska 15a/12 ,510000,84.2,6055,WA6M/00315042/6 
221,26-06-2017,Okaryny 1b/2,521100,84.4,6178,brak KW
222,08-06-2017,Prymasa Tysiąclecia 155/14,539200,84.5,6378,WA4M/00328938/4
223,24-05-2017,Anielewicza Mordechaja 9/16A,563000,85.3,6599,WA4M/00174024/9
224,21-06-2017,Milenijna 41A/11,514000,85.6,6008,WA3M/00443129/5
225,03-07-2017,Skarbka z Gór 134/39,480998,86,5593,WA3M/00456057/3
226,09-06-2017,Kobielska 6/5,671600,87.9,7641,WA6M/00447922/3
227,22-06-2017,Wilanowska 111A/13,745000,88.9,8377,WA2M/00399003/5
228,24-05-2017,Palmowa 15 d/2,347000,90.7,3826,WA6M/00483124/3
229,21-06-2017,Wałbrzyska 19/43,588400,90.9,6473,brak KW
230,08-06-2017,Sarmacka 28/61 ,738000,91.7,8048,WA2M/00470736/4 
231,06-07-2017,Marszałkowska 20/22/71 ,882000,92.5,9538,WA4M/00056775/5 
232,28-06-2017,Kaden-Bandrowskiego 8/88 ,493000,93.9,5250,WA1M/00465081/2 
233,12-06-2017,Puławska 270/64 ,688000,94.6,7276,WA2M/00332834/2 
234,12-06-2017,Jerozolimskie 49/23,898000,98.1,9150,WA4M/00429172/4
235,26-06-2017,Bukowińska 12/901,865000,98.6,8774,WA2M/00467160/1
236,13-07-2017,Świętosławska 5/1,615000,100.6,6111,WA6M/00435920/2
237,28-06-2017,Parkowa 19/4 ,2515988,102.2,24623,WA4M/00404930/5 
238,28-06-2017,Sułkowskiego  4/ 5 ,1077981,103.4,10426,WA1M/00047572/5 
239,12-07-2017,Arkadowa 29/4 ,608000,104.1,5841,WA2M/00209942/1 
240,08-06-2017,Słomińskiego 15/12,1360000,104.1,13064,WA4M/00391313/9
241,21-06-2017,Majdańska 12/18,746900,110.5,6759,WA6M/00408754/9
242,28-06-2017,Rejsu 2/15,1015000,113.3,8961,WA2M/00471529/7
243,27-07-2017,Chodkiewicza 7/64 ,1448000,121,11969,WA2M/00474890/9 
244,08-06-2017,Belgradzka 4/91 ,500500,121.7,4114,WA5M/00440262/2 
245,22-06-2017,Klimczaka 10D/15,1211301,121.8,9945,WA2M/00438044/0
246,26-06-2017,Łucka 20/97,799000,123.3,6480,WA4M/00416333/7
247,21-06-2017,Fasolowa 39A/12 ,735325,125.6,5854,WA1M/00329760/1 
248,28-06-2017,Bitwy Pod Rokitną 1/31 ,2587000,134.7,19204,WA1M/00338820/6 
249,26-06-2017,Gandhi Indiry 35/186,1191684,140.8,8463,WA2M/00452845/9
250,28-06-2017,Pory 61/73,1062600,142,7486,WA2M/00471578/5
251,28-06-2017,Sarmacka 10 D/30,1027700,143.8,7148,WA2M/00472898/1
252,28-06-2017,Cybernetyki 13/69,1256300,145.9,8611,WA2M/00489496/5
253,29-06-2017,Jana Pawła II 61/171 ,1164600,146,7977,WA4M/00397404/6 
254,07-09-2017,Sarmacka 10 D/1,1119200,153.7,7283,WA2M/00472897/4
255,06-09-2017,Sandomierska 18/14,1166500,168.5,6923,WA2M/00042157/2
256,28-06-2017,Kolektorska 24/1,914900,173.2,5282,WA1M/00466032/1
257,20-07-2017,Sarmacka 10D/16,1596000,200.5,7962,WA2M/00470791/7
258,10-07-2017,Barska 5/33,2109500,244,8645,WA1M/00436770/7
259,28-06-2017,Janinówka 9,149250,,#DIV/0!,WA3M/00276183/9
260,07-09-2017,Grochowska 173A/26,193000,,#DIV/0!,WA6M/00285527/0
261,19-06-2017,Grochowska 175/1,201000,,#DIV/0!,WA6M/00315336/4
262,18-07-2017,Batumi 4/18,264000,,#DIV/0!,WA2M/00449975/5
263,26-07-2017,Górczewska 200A/187,274500,,#DIV/0!,WA1M/00473797/3
264,12-06-2017,Chełmońskiego 9/23,301561,,#DIV/0!,WA1M/00433357/5
265,02-08-2017,Stępińska 48/58/34,349000,,#DIV/0!,WA2M/00466759/0
266,26-06-2017,Smulikowskiego 13/14,357000,,#DIV/0!,WA4M/00409419/2
267,07-07-2017,Anielewicza 4/20,359000,,#DIV/0!,WA4M/00066748/0
268,02-08-2017,Szekspira 4/28,362000,,#DIV/0!,brak KW
269,27-07-2017,Jeździecka 21B/40,363000,,#DIV/0!,WA6M/00450629/3
270,28-06-2017,Jana Pawła II 23/3,375427,,#DIV/0!,WA6M/00448435/9
271,28-06-2017,Juranda ze Spychowa 55/1,394000,,#DIV/0!,WA3M/00351424/1
272,02-08-2017,Przasnyska 17/50,434000,,#DIV/0!,WA1M/00392178/6
273,18-08-2017,Smolna 38/12,484787,,#DIV/0!,WA4M/00118071/3
274,06-07-2017,Bukowińska 24A/145,517000,,#DIV/0!,WA2M/00295844/3
275,03-08-2017,Świderska 113B/55,562000,,#DIV/0!,WA3M/00434919/4
276,26-07-2017,Cicha 3/11,597000,,#DIV/0!,WA4M/00110665/8
277,24-07-2017,Smolna 38/14,955272,,#DIV/0!,WA4M/00099909/7
278,,,,,#DIV/0!,
279,,,,,#DIV/0!,
280,,,,,#DIV/0!,
281,,,,,#DIV/0!,
282,,,,,#DIV/0!,
283,,,,,#DIV/0!,
284,,,,,#DIV/0!,
285,,,,,#DIV/0!,
286,,,,,#DIV/0!,
287,,,,,#DIV/0!,
288,,,,,#DIV/0!,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
